nop -> 0x0
set 4,(ix+*) -> 0xddcbe6
set 4,(ix+*),a -> 0xddcbe7
set 5,(ix+*),b -> 0xddcbe8
set 5,(ix+*),c -> 0xddcbe9
set 5,(ix+*),d -> 0xddcbea
set 5,(ix+*),e -> 0xddcbeb
set 5,(ix+*),h -> 0xddcbec
set 5,(ix+*),l -> 0xddcbed
set 5,(ix+*) -> 0xddcbee
set 5,(ix+*),a -> 0xddcbef
set 6,(ix+*),b -> 0xddcbf0
set 6,(ix+*),c -> 0xddcbf1
set 6,(ix+*),d -> 0xddcbf2
set 6,(ix+*),e -> 0xddcbf3
set 6,(ix+*),h -> 0xddcbf4
set 6,(ix+*),l -> 0xddcbf5
set 6,(ix+*) -> 0xddcbf6
set 6,(ix+*),a -> 0xddcbf7
set 7,(ix+*),b -> 0xddcbf8
set 7,(ix+*),c -> 0xddcbf9
set 7,(ix+*),d -> 0xddcbfa
set 7,(ix+*),e -> 0xddcbfb
set 7,(ix+*),h -> 0xddcbfc
set 7,(ix+*),l -> 0xddcbfd
set 7,(ix+*) -> 0xddcbfe
set 7,(ix+*),a -> 0xddcbff
add iy,bc -> 0xdd9
add iy,de -> 0xdd19
ld iy,** -> 0xdd21
ld (**),iy -> 0xdd22
inc iy -> 0xdd23
inc iyh -> 0xdd24
dec iyh -> 0xdd25
ld iyh,* -> 0xdd26
add iy,iy -> 0xdd29
ld iy,(**) -> 0xdd2a
dec iy -> 0xdd2b
inc iyl -> 0xdd2c
dec iyl -> 0xdd2d
ld iyl,* -> 0xdd2e
inc (iy+*) -> 0xdd34
dec (iy+*) -> 0xdd35
ld (iy+*),* -> 0xdd36
add iy,sp -> 0xdd39
ld b,iyh -> 0xdd44
ld b,iyl -> 0xdd45
ld b,(iy+*) -> 0xdd46
ld c,iyh -> 0xdd4c
ld c,iyl -> 0xdd4d
ld c,(iy+*) -> 0xdd4e
ld d,iyh -> 0xdd54
ld d,iyl -> 0xdd55
ld d,(iy+*) -> 0xdd56
ld e,iyh -> 0xdd5c
ld e,iyl -> 0xdd5d
ld e,(iy+*) -> 0xdd5e
ld iyh,b -> 0xdd60
ld iyh,c -> 0xdd61
ld iyh,d -> 0xdd62
ld iyh,e -> 0xdd63
ld iyh,iyh -> 0xdd64
ld iyh,iyl -> 0xdd65
ld h,(iy+*) -> 0xdd66
ld iyh,a -> 0xdd67
ld iyl,b -> 0xdd68
ld iyl,c -> 0xdd69
ld iyl,d -> 0xdd6a
ld iyl,e -> 0xdd6b
ld iyl,iyh -> 0xdd6c
ld iyl,iyl -> 0xdd6d
ld l,(iy+*) -> 0xdd6e
ld iyl,a -> 0xdd6f
ld (iy+*),b -> 0xdd70
ld (iy+*),c -> 0xdd71
ld (iy+*),d -> 0xdd72
ld (iy+*),e -> 0xdd73
ld (iy+*),h -> 0xdd74
ld (iy+*),l -> 0xdd75
ld (iy+*),a -> 0xdd77
ld a,iyh -> 0xdd7c
ld a,iyl -> 0xdd7d
ld a,(iy+*) -> 0xdd7e
add a,iyh -> 0xdd84
add a,iyl -> 0xdd85
add a,(iy+*) -> 0xdd86
adc a,iyh -> 0xdd8c
adc a,iyl -> 0xdd8d
adc a,(iy+*) -> 0xdd8e
sub iyh -> 0xdd94
sub iyl -> 0xdd95
sub (iy+*) -> 0xdd96
sbc a,iyh -> 0xdd9c
sbc a,iyl -> 0xdd9d
sbc a,(iy+*) -> 0xdd9e
and iyh -> 0xdda4
and iyl -> 0xdda5
and (iy+*) -> 0xdda6
xor iyh -> 0xddac
xor iyl -> 0xddad
xor (iy+*) -> 0xddae
or iyh -> 0xddb4
or iyl -> 0xddb5
or (iy+*) -> 0xddb6
cp iyh -> 0xddbc
cp iyl -> 0xddbd
cp (iy+*) -> 0xddbe
pop iy -> 0xdde1
ex (sp),iy -> 0xdde3
push iy -> 0xdde5
jp (iy) -> 0xdde9
ld sp,iy -> 0xddf9
rlc (iy+*),b -> 0xddcb0
rlc (iy+*),c -> 0xddcb1
rlc (iy+*),d -> 0xddcb2
rlc (iy+*),e -> 0xddcb3
rlc (iy+*),h -> 0xddcb4
rlc (iy+*),l -> 0xddcb5
rlc (iy+*) -> 0xddcb6
rlc (iy+*),a -> 0xddcb7
rrc (iy+*),b -> 0xddcb8
rrc (iy+*),c -> 0xddcb9
rrc (iy+*),d -> 0xddcba
rrc (iy+*),e -> 0xddcbb
rrc (iy+*),h -> 0xddcbc
rrc (iy+*),l -> 0xddcbd
rrc (iy+*) -> 0xddcbe
rrc (iy+*),a -> 0xddcbf
rl (iy+*),b -> 0xddcb10
rl (iy+*),c -> 0xddcb11
rl (iy+*),d -> 0xddcb12
rl (iy+*),e -> 0xddcb13
rl (iy+*),h -> 0xddcb14
rl (iy+*),l -> 0xddcb15
rl (iy+*) -> 0xddcb16
rl (iy+*),a -> 0xddcb17
rr (iy+*),b -> 0xddcb18
rr (iy+*),c -> 0xddcb19
rr (iy+*),d -> 0xddcb1a
rr (iy+*),e -> 0xddcb1b
rr (iy+*),h -> 0xddcb1c
rr (iy+*),l -> 0xddcb1d
rr (iy+*) -> 0xddcb1e
rr (iy+*),a -> 0xddcb1f
sla (iy+*),b -> 0xddcb20
sla (iy+*),c -> 0xddcb21
sla (iy+*),d -> 0xddcb22
sla (iy+*),e -> 0xddcb23
sla (iy+*),h -> 0xddcb24
sla (iy+*),l -> 0xddcb25
sla (iy+*) -> 0xddcb26
sla (iy+*),a -> 0xddcb27
sra (iy+*),b -> 0xddcb28
sra (iy+*),c -> 0xddcb29
sra (iy+*),d -> 0xddcb2a
sra (iy+*),e -> 0xddcb2b
sra (iy+*),h -> 0xddcb2c
sra (iy+*),l -> 0xddcb2d
sra (iy+*) -> 0xddcb2e
sra (iy+*),a -> 0xddcb2f
sll (iy+*),b -> 0xddcb30
sll (iy+*),c -> 0xddcb31
sll (iy+*),d -> 0xddcb32
sll (iy+*),e -> 0xddcb33
sll (iy+*),h -> 0xddcb34
sll (iy+*),l -> 0xddcb35
sll (iy+*) -> 0xddcb36
sll (iy+*),a -> 0xddcb37
srl (iy+*),b -> 0xddcb38
srl (iy+*),c -> 0xddcb39
srl (iy+*),d -> 0xddcb3a
srl (iy+*),e -> 0xddcb3b
srl (iy+*),h -> 0xddcb3c
srl (iy+*),l -> 0xddcb3d
srl (iy+*) -> 0xddcb3e
srl (iy+*),a -> 0xddcb3f
bit 0,(iy+*) -> 0xddcb40
bit 0,(iy+*) -> 0xddcb41
bit 0,(iy+*) -> 0xddcb42
bit 0,(iy+*) -> 0xddcb43
bit 0,(iy+*) -> 0xddcb44
bit 0,(iy+*) -> 0xddcb45
bit 0,(iy+*) -> 0xddcb46
bit 0,(iy+*) -> 0xddcb47
bit 1,(iy+*) -> 0xddcb48
bit 1,(iy+*) -> 0xddcb49
bit 1,(iy+*) -> 0xddcb4a
bit 1,(iy+*) -> 0xddcb4b
bit 1,(iy+*) -> 0xddcb4c
bit 1,(iy+*) -> 0xddcb4d
bit 1,(iy+*) -> 0xddcb4e
bit 1,(iy+*) -> 0xddcb4f
bit 2,(iy+*) -> 0xddcb50
bit 2,(iy+*) -> 0xddcb51
bit 2,(iy+*) -> 0xddcb52
bit 2,(iy+*) -> 0xddcb53
bit 2,(iy+*) -> 0xddcb54
bit 2,(iy+*) -> 0xddcb55
bit 2,(iy+*) -> 0xddcb56
bit 2,(iy+*) -> 0xddcb57
bit 3,(iy+*) -> 0xddcb58
bit 3,(iy+*) -> 0xddcb59
bit 3,(iy+*) -> 0xddcb5a
bit 3,(iy+*) -> 0xddcb5b
bit 3,(iy+*) -> 0xddcb5c
bit 3,(iy+*) -> 0xddcb5d
bit 3,(iy+*) -> 0xddcb5e
bit 3,(iy+*) -> 0xddcb5f
bit 4,(iy+*) -> 0xddcb60
bit 4,(iy+*) -> 0xddcb61
bit 4,(iy+*) -> 0xddcb62
bit 4,(iy+*) -> 0xddcb63
bit 4,(iy+*) -> 0xddcb64
bit 4,(iy+*) -> 0xddcb65
bit 4,(iy+*) -> 0xddcb66
bit 4,(iy+*) -> 0xddcb67
bit 5,(iy+*) -> 0xddcb68
bit 5,(iy+*) -> 0xddcb69
bit 5,(iy+*) -> 0xddcb6a
bit 5,(iy+*) -> 0xddcb6b
bit 5,(iy+*) -> 0xddcb6c
bit 5,(iy+*) -> 0xddcb6d
bit 5,(iy+*) -> 0xddcb6e
bit 5,(iy+*) -> 0xddcb6f
bit 6,(iy+*) -> 0xddcb70
bit 6,(iy+*) -> 0xddcb71
bit 6,(iy+*) -> 0xddcb72
bit 6,(iy+*) -> 0xddcb73
bit 6,(iy+*) -> 0xddcb74
bit 6,(iy+*) -> 0xddcb75
bit 6,(iy+*) -> 0xddcb76
bit 6,(iy+*) -> 0xddcb77
bit 7,(iy+*) -> 0xddcb78
bit 7,(iy+*) -> 0xddcb79
bit 7,(iy+*) -> 0xddcb7a
bit 7,(iy+*) -> 0xddcb7b
bit 7,(iy+*) -> 0xddcb7c
bit 7,(iy+*) -> 0xddcb7d
bit 7,(iy+*) -> 0xddcb7e
bit 7,(iy+*) -> 0xddcb7f
res 0,(iy+*),b -> 0xddcb80
res 0,(iy+*),c -> 0xddcb81
res 0,(iy+*),d -> 0xddcb82
res 0,(iy+*),e -> 0xddcb83
res 0,(iy+*),h -> 0xddcb84
res 0,(iy+*),l -> 0xddcb85
res 0,(iy+*) -> 0xddcb86
res 0,(iy+*),a -> 0xddcb87
res 1,(iy+*),b -> 0xddcb88
res 1,(iy+*),c -> 0xddcb89
res 1,(iy+*),d -> 0xddcb8a
res 1,(iy+*),e -> 0xddcb8b
res 1,(iy+*),h -> 0xddcb8c
res 1,(iy+*),l -> 0xddcb8d
res 1,(iy+*) -> 0xddcb8e
res 1,(iy+*),a -> 0xddcb8f
res 2,(iy+*),b -> 0xddcb90
res 2,(iy+*),c -> 0xddcb91
res 2,(iy+*),d -> 0xddcb92
res 2,(iy+*),e -> 0xddcb93
res 2,(iy+*),h -> 0xddcb94
res 2,(iy+*),l -> 0xddcb95
res 2,(iy+*) -> 0xddcb96
res 2,(iy+*),a -> 0xddcb97
res 3,(iy+*),b -> 0xddcb98
res 3,(iy+*),c -> 0xddcb99
res 3,(iy+*),d -> 0xddcb9a
res 3,(iy+*),e -> 0xddcb9b
res 3,(iy+*),h -> 0xddcb9c
res 3,(iy+*),l -> 0xddcb9d
res 3,(iy+*) -> 0xddcb9e
res 3,(iy+*),a -> 0xddcb9f
res 4,(iy+*),b -> 0xddcba0
res 4,(iy+*),c -> 0xddcba1
res 4,(iy+*),d -> 0xddcba2
res 4,(iy+*),e -> 0xddcba3
res 4,(iy+*),h -> 0xddcba4
res 4,(iy+*),l -> 0xddcba5
res 4,(iy+*) -> 0xddcba6
res 4,(iy+*),a -> 0xddcba7
res 5,(iy+*),b -> 0xddcba8
res 5,(iy+*),c -> 0xddcba9
res 5,(iy+*),d -> 0xddcbaa
res 5,(iy+*),e -> 0xddcbab
res 5,(iy+*),h -> 0xddcbac
res 5,(iy+*),l -> 0xddcbad
res 5,(iy+*) -> 0xddcbae
res 5,(iy+*),a -> 0xddcbaf
res 6,(iy+*),b -> 0xddcbb0
res 6,(iy+*),c -> 0xddcbb1
res 6,(iy+*),d -> 0xddcbb2
res 6,(iy+*),e -> 0xddcbb3
res 6,(iy+*),h -> 0xddcbb4
res 6,(iy+*),l -> 0xddcbb5
res 6,(iy+*) -> 0xddcbb6
res 6,(iy+*),a -> 0xddcbb7
res 7,(iy+*),b -> 0xddcbb8
res 7,(iy+*),c -> 0xddcbb9
res 7,(iy+*),d -> 0xddcbba
res 7,(iy+*),e -> 0xddcbbb
res 7,(iy+*),h -> 0xddcbbc
res 7,(iy+*),l -> 0xddcbbd
res 7,(iy+*) -> 0xddcbbe
res 7,(iy+*),a -> 0xddcbbf
set 0,(iy+*),b -> 0xddcbc0
set 0,(iy+*),c -> 0xddcbc1
set 0,(iy+*),d -> 0xddcbc2
set 0,(iy+*),e -> 0xddcbc3
set 0,(iy+*),h -> 0xddcbc4
set 0,(iy+*),l -> 0xddcbc5
set 0,(iy+*) -> 0xddcbc6
set 0,(iy+*),a -> 0xddcbc7
set 1,(iy+*),b -> 0xddcbc8
set 1,(iy+*),c -> 0xddcbc9
set 1,(iy+*),d -> 0xddcbca
set 1,(iy+*),e -> 0xddcbcb
set 1,(iy+*),h -> 0xddcbcc
set 1,(iy+*),l -> 0xddcbcd
set 1,(iy+*) -> 0xddcbce
set 1,(iy+*),a -> 0xddcbcf
set 2,(iy+*),b -> 0xddcbd0
set 2,(iy+*),c -> 0xddcbd1
set 2,(iy+*),d -> 0xddcbd2
set 2,(iy+*),e -> 0xddcbd3
set 2,(iy+*),h -> 0xddcbd4
set 2,(iy+*),l -> 0xddcbd5
set 2,(iy+*) -> 0xddcbd6
set 2,(iy+*),a -> 0xddcbd7
set 3,(iy+*),b -> 0xddcbd8
set 3,(iy+*),c -> 0xddcbd9
set 3,(iy+*),d -> 0xddcbda
set 3,(iy+*),e -> 0xddcbdb
set 3,(iy+*),h -> 0xddcbdc
set 3,(iy+*),l -> 0xddcbdd
set 3,(iy+*) -> 0xddcbde
set 3,(iy+*),a -> 0xddcbdf
set 4,(iy+*),b -> 0xddcbe0
set 4,(iy+*),c -> 0xddcbe1
set 4,(iy+*),d -> 0xddcbe2
set 4,(iy+*),e -> 0xddcbe3
set 4,(iy+*),h -> 0xddcbe4
set 4,(iy+*),l -> 0xddcbe5
set 4,(iy+*) -> 0xddcbe6
set 4,(iy+*),a -> 0xddcbe7
set 5,(iy+*),b -> 0xddcbe8
set 5,(iy+*),c -> 0xddcbe9
set 5,(iy+*),d -> 0xddcbea
set 5,(iy+*),e -> 0xddcbeb
set 5,(iy+*),h -> 0xddcbec
set 5,(iy+*),l -> 0xddcbed
set 5,(iy+*) -> 0xddcbee
set 5,(iy+*),a -> 0xddcbef
set 6,(iy+*),b -> 0xddcbf0
set 6,(iy+*),c -> 0xddcbf1
set 6,(iy+*),d -> 0xddcbf2
set 6,(iy+*),e -> 0xddcbf3
set 6,(iy+*),h -> 0xddcbf4
set 6,(iy+*),l -> 0xddcbf5
set 6,(iy+*) -> 0xddcbf6
set 6,(iy+*),a -> 0xddcbf7
set 7,(iy+*),b -> 0xddcbf8
set 7,(iy+*),c -> 0xddcbf9
set 7,(iy+*),d -> 0xddcbfa
set 7,(iy+*),e -> 0xddcbfb
set 7,(iy+*),h -> 0xddcbfc
set 7,(iy+*),l -> 0xddcbfd
set 7,(iy+*) -> 0xddcbfe
set 7,(iy+*),a -> 0xddcbff
